query,relevant_doc
What studies investigated Congestive Heart Failure|Diabetes|Coronary Artery Disease|Chronic Obstructive Pulmonary Disease|Cancer|Cerebrovascular Disease|Alzheimer's Disease|Psychotic Disorder|Major Depression?,Congestive Heart Failure|Diabetes|Coronary Artery Disease|Chronic Obstructive Pulmonary Disease|Cancer|Cerebrovascular Disease|Alzheimer's Disease|Psychotic Disorder|Major Depression
Which trial evaluated Care Coordination?,Care Coordination
What studies investigated Type 2 Diabetes Mellitus|Systemic Arterial Hypertension?,Type 2 Diabetes Mellitus|Systemic Arterial Hypertension
Which trial evaluated Motivational interviewing?,Motivational interviewing
Which trial evaluated BlueStar app?,BlueStar app
What studies investigated Diabetes Type 1?,Diabetes Type 1
Which trial evaluated Integrated sensor and infusion set.?,Integrated sensor and infusion set.
"Which trial evaluated DIAGNOSTIC_TEST: 1,5 Anhydroglucitol and 1,5 Anhydroglucitol / Glycated Hemoglobin ratio?","DIAGNOSTIC_TEST: 1,5 Anhydroglucitol and 1,5 Anhydroglucitol / Glycated Hemoglobin ratio"
Which trial evaluated Sitagliptin phosphate?,Sitagliptin phosphate
What studies investigated Depression|Type 2 Diabetes Mellitus?,Depression|Type 2 Diabetes Mellitus
"Which trial evaluated Education, encouragement, card sort?","Education, encouragement, card sort"
What studies investigated Renal Insufficiency|Diabetes Mellitus?,Renal Insufficiency|Diabetes Mellitus
Which trial evaluated Iodixanol 320-Arm 1?,Iodixanol 320-Arm 1
What studies investigated Coronary Artery Disease|Congestive Heart Failure|Valvular Heart Disease|Atrial Fibrillation|Hypertension|Pyelonephritis|Acute Renal Failure|Renal Failure|Viral Hepatitis|Alcoholic Hepatitis|Steatohepatitis|Cirrhosis|Asthma|COPD|Bronchitis|Emphysema|Pneumonia|Inflammatory Bowel Disease|Crohn's Disease|Ulcerative Colitis|Diverticulitis|Peptic Ulcer Disease|Irritable Bowel Syndrome|Cholecystitis|Pancreatitis|Malabsorption Disorders|Celiac Sprue|Diabetes?,Coronary Artery Disease|Congestive Heart Failure|Valvular Heart Disease|Atrial Fibrillation|Hypertension|Pyelonephritis|Acute Renal Failure|Renal Failure|Viral Hepatitis|Alcoholic Hepatitis|Steatohepatitis|Cirrhosis|Asthma|COPD|Bronchitis|Emphysema|Pneumonia|Inflammatory Bowel Disease|Crohn's Disease|Ulcerative Colitis|Diverticulitis|Peptic Ulcer Disease|Irritable Bowel Syndrome|Cholecystitis|Pancreatitis|Malabsorption Disorders|Celiac Sprue|Diabetes
What studies investigated Coronary Artery Disease|Acute Coronary Syndrome|Diabetes|Metabolic Syndrome?,Coronary Artery Disease|Acute Coronary Syndrome|Diabetes|Metabolic Syndrome
Which trial evaluated Calcitriol?,Calcitriol
What studies investigated Fuchs Endothelial Corneal Dystrophy|Corneal Endothelial Decompensation?,Fuchs Endothelial Corneal Dystrophy|Corneal Endothelial Decompensation
Which trial evaluated PROCEDURE: Descemet membrane endothelial keratoplasty?,PROCEDURE: Descemet membrane endothelial keratoplasty
What studies investigated Type 2 Diabetes Mellitus|Chronic Kidney Disease Stage 3?,Type 2 Diabetes Mellitus|Chronic Kidney Disease Stage 3
Which trial evaluated Placebo?,Placebo
Which trial evaluated tirzepatide?,tirzepatide
"What studies investigated Shock, Septic?","Shock, Septic"
Which trial evaluated Simultaneous administration of vasopressors?,Simultaneous administration of vasopressors
Which trial evaluated Welltang?,Welltang
"Which trial evaluated rosuvastatin, METFORMIN, Sitagliptin, Telmisartan, Cinnamon. garlic, Ginger, Methi dana, Arjun?","rosuvastatin, METFORMIN, Sitagliptin, Telmisartan, Cinnamon. garlic, Ginger, Methi dana, Arjun"
What studies investigated Myocardial Infarction|Coronary Disease?,Myocardial Infarction|Coronary Disease
Which trial evaluated Tailored Education Messages?,Tailored Education Messages
Which trial evaluated Surveys?,Surveys
What studies investigated Peripheral Neuropathy With Type 2 Diabetes?,Peripheral Neuropathy With Type 2 Diabetes
Which trial evaluated Intraneural Facilitation Therapy Treatment?,Intraneural Facilitation Therapy Treatment
Which trial evaluated 24-hour movement behavior?,24-hour movement behavior
Which trial evaluated WM3.4NR?,WM3.4NR
"What studies investigated Diabetes|Anesthesia, Local?","Diabetes|Anesthesia, Local"
Which trial evaluated Local anaesthesia with vasocontrictor (Mepivacaine hydrochloride 20 mg (2%) + Levonordefrin hydrochloride 0.06 mg)?,Local anaesthesia with vasocontrictor (Mepivacaine hydrochloride 20 mg (2%) + Levonordefrin hydrochloride 0.06 mg)
Which trial evaluated PROCEDURE: Islet Cell Transplantation?,PROCEDURE: Islet Cell Transplantation
Which trial evaluated Insupatch?,Insupatch
"What studies investigated Hypertension|Diabetes Mellitus, Type 2?","Hypertension|Diabetes Mellitus, Type 2"
Which trial evaluated Ertugliflozin?,Ertugliflozin
Which trial evaluated Insulin in Dextran Matrix?,Insulin in Dextran Matrix
What studies investigated Diabetic Nephropathy?,Diabetic Nephropathy
Which trial evaluated MT-3995 Low?,MT-3995 Low
What studies investigated Type 2 Diabetes Mellitus|Obesity?,Type 2 Diabetes Mellitus|Obesity
Which trial evaluated In Person Group (IP)?,In Person Group (IP)
Which trial evaluated Diet?,Diet
What studies investigated Diabetes|Obesity|Pre-Diabetes|Metabolic Syndrome?,Diabetes|Obesity|Pre-Diabetes|Metabolic Syndrome
"What studies investigated Ischemic Heart Disease Chronic|Diabetes Mellitus, Type 2?","Ischemic Heart Disease Chronic|Diabetes Mellitus, Type 2"
Which trial evaluated lifestyle intervention?,lifestyle intervention
"What studies investigated Complications of Diabetes Mellitus|Diabetes Mellitus|Diabetes Mellitus, Type 2?","Complications of Diabetes Mellitus|Diabetes Mellitus|Diabetes Mellitus, Type 2"
Which trial evaluated Diacerein?,Diacerein
"What studies investigated Diabetes|Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2?","Diabetes|Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2"
Which trial evaluated MDRS System (Remote & Safety diabetes management system)?,MDRS System (Remote & Safety diabetes management system)
Which trial evaluated Promotora-led Intervention?,Promotora-led Intervention
What studies investigated Diabetic Neuropathies?,Diabetic Neuropathies
Which trial evaluated Intervention Group?,Intervention Group
What studies investigated Unresectable Pleural or Peritoneal Malignant Mesothelioma?,Unresectable Pleural or Peritoneal Malignant Mesothelioma
Which trial evaluated Tremelimumab?,Tremelimumab
"What studies investigated Sleep Apnea, Obstructive|Diabetes Mellitus?","Sleep Apnea, Obstructive|Diabetes Mellitus"
Which trial evaluated Continuous positive airway pressure?,Continuous positive airway pressure
Which trial evaluated Insulin Glulisine?,Insulin Glulisine
What studies investigated Peripheral Vascular Diseases|Diabetic Foot?,Peripheral Vascular Diseases|Diabetic Foot
Which trial evaluated PROCEDURE: Autologous Bone Marrow Mononuclear Cells?,PROCEDURE: Autologous Bone Marrow Mononuclear Cells
"What studies investigated PreDiabetes|Diabetes Mellitus, Type 2|Healthy?","PreDiabetes|Diabetes Mellitus, Type 2|Healthy"
Which trial evaluated Post prandial testing?,Post prandial testing
What studies investigated Type 2 Diabetes|Pregnancy?,Type 2 Diabetes|Pregnancy
Which trial evaluated Umbilical cord blood mononuclear cell gel（MNC）?,Umbilical cord blood mononuclear cell gel（MNC）
What studies investigated Healthy|Overweight|Obesity|Type 2 Diabetes?,Healthy|Overweight|Obesity|Type 2 Diabetes
Which trial evaluated LY4086940?,LY4086940
Which trial evaluated Exenatide?,Exenatide
"What studies investigated Faecal Microbiota Transplantation (FMT)|Diabetes Mellitus, Type 1|Gastrointestinal Neuropathy?","Faecal Microbiota Transplantation (FMT)|Diabetes Mellitus, Type 1|Gastrointestinal Neuropathy"
Which trial evaluated Faecal microbiota transplantation (FMT) capsules?,Faecal microbiota transplantation (FMT) capsules
Which trial evaluated RD13-02 cell infusion?,RD13-02 cell infusion
What studies investigated Chronic Obstructive Pulmonary Disease|Diabetes|Chronic Heart Failure|Frail Elderly Syndrome?,Chronic Obstructive Pulmonary Disease|Diabetes|Chronic Heart Failure|Frail Elderly Syndrome
Which trial evaluated New Care?,New Care
"What studies investigated Diabetes Mellitus, Type 2|Noninsulin-Dependent Diabetes Mellitus?","Diabetes Mellitus, Type 2|Noninsulin-Dependent Diabetes Mellitus"
Which trial evaluated PROCEDURE: DMR Procedure?,PROCEDURE: DMR Procedure
Which trial evaluated Dimethyl Fumarate Enteric-coated Capsules?,Dimethyl Fumarate Enteric-coated Capsules
Which trial evaluated Total Diet Replacement (TDR) Program?,Total Diet Replacement (TDR) Program
What studies investigated Hypertension|Type 2 Diabetes Mellitus?,Hypertension|Type 2 Diabetes Mellitus
Which trial evaluated Carvedilol?,Carvedilol
What studies investigated Diabetes Mellitus|Heart Failure?,Diabetes Mellitus|Heart Failure
Which trial evaluated HF DM self care?,HF DM self care
"What studies investigated Obesity|Overweight and/or Obesity|Overweight|Diabetes, Type 2|Type 2 Diabetes?","Obesity|Overweight and/or Obesity|Overweight|Diabetes, Type 2|Type 2 Diabetes"
Which trial evaluated PF-08653944?,PF-08653944
Which trial evaluated cell phone delivered tele-educational?,cell phone delivered tele-educational
What studies investigated Insulin Resistance|Type 2 Diabetes?,Insulin Resistance|Type 2 Diabetes
Which trial evaluated Aerobic Plus Resistance Training Group?,Aerobic Plus Resistance Training Group
What studies investigated Diabetes Mellitus Type 2|Liver Transplant?,Diabetes Mellitus Type 2|Liver Transplant
What studies investigated Type 1 Diabetes Mellitus|Stage 2 Type 1 Diabetes|Stage 1 Type 1 Diabetes|Stage 3 Type 1 Diabetes?,Type 1 Diabetes Mellitus|Stage 2 Type 1 Diabetes|Stage 1 Type 1 Diabetes|Stage 3 Type 1 Diabetes
Which trial evaluated DIAGNOSTIC_TEST: Capillary blood glucose blood draw?,DIAGNOSTIC_TEST: Capillary blood glucose blood draw
What studies investigated Diabetes Prevention|Obesity Prevention?,Diabetes Prevention|Obesity Prevention
Which trial evaluated dietary intervention?,dietary intervention
Which trial evaluated Delica Lancing Device?,Delica Lancing Device
"What studies investigated Diabetes Mellitus, Type I?","Diabetes Mellitus, Type I"
What studies investigated Sleep Apnea|Diabetes?,Sleep Apnea|Diabetes
Which trial evaluated REMStar Positive Airway Pressure?,REMStar Positive Airway Pressure
Which trial evaluated Placebo (OGTT)?,Placebo (OGTT)
Which trial evaluated Alogliptin and metformin?,Alogliptin and metformin
What studies investigated Proliferative Diabetic Retinopathy?,Proliferative Diabetic Retinopathy
Which trial evaluated Propranolol?,Propranolol
"What studies investigated Diabetes Mellitus|Diabetes Mellitus, Type 1|Glucose Metabolism Disorders|Endocrine System Diseases|Autoimmune Diseases?","Diabetes Mellitus|Diabetes Mellitus, Type 1|Glucose Metabolism Disorders|Endocrine System Diseases|Autoimmune Diseases"
Which trial evaluated FlorenceM (US) and FlorenceX (UK)?,FlorenceM (US) and FlorenceX (UK)
What studies investigated Atrophy?,Atrophy
"Which trial evaluated physical exercise, wellness?","physical exercise, wellness"
Which trial evaluated Localized vibration?,Localized vibration
Which trial evaluated DIETARY_SUPPLEMENT: Resistant Starch?,DIETARY_SUPPLEMENT: Resistant Starch
Which trial evaluated Implementation of program based on WHO HEARTS-D guidelines?,Implementation of program based on WHO HEARTS-D guidelines
Which trial evaluated Sleep restriction?,Sleep restriction
What studies investigated Fatty Liver?,Fatty Liver
Which trial evaluated Saroglitazar?,Saroglitazar
What studies investigated Diabetes Type 1|Diabetes Type 2 on Insulin|Pancreatogenous Diabetes?,Diabetes Type 1|Diabetes Type 2 on Insulin|Pancreatogenous Diabetes
Which trial evaluated EkiYou V2?,EkiYou V2
Which trial evaluated Sitagliptin 100mg?,Sitagliptin 100mg
Which trial evaluated Diabetes-Specific Formula?,Diabetes-Specific Formula
What studies investigated Adiposity|Metabolic Syndrome|Type 2 Diabetes|Cardiovascular Diseases|Mortality?,Adiposity|Metabolic Syndrome|Type 2 Diabetes|Cardiovascular Diseases|Mortality
Which trial evaluated Change in LCSBs Intake?,Change in LCSBs Intake
"What studies investigated Atherosclerotic Plaque|Diabetes Mellitus, Type 2|Hypertension|Stroke?","Atherosclerotic Plaque|Diabetes Mellitus, Type 2|Hypertension|Stroke"
Which trial evaluated Mindfulness-based diabetes prevention education group?,Mindfulness-based diabetes prevention education group
Which trial evaluated Insulin glargine?,Insulin glargine
Which trial evaluated DiAs?,DiAs
What studies investigated Congestive Heart Failure|Diabetes|Renal Failure|Copd?,Congestive Heart Failure|Diabetes|Renal Failure|Copd
Which trial evaluated Secure text messaging?,Secure text messaging
Which trial evaluated iRF System Hepatic Denervation?,iRF System Hepatic Denervation
What studies investigated Prediabetic State?,Prediabetic State
Which trial evaluated patient health record?,patient health record
Which trial evaluated YH14617?,YH14617
What studies investigated Type 1 Diabetes|Hypoglycemia?,Type 1 Diabetes|Hypoglycemia
Which trial evaluated Continuos glucose monitoring and blood glucose measurement?,Continuos glucose monitoring and blood glucose measurement
Which trial evaluated AZD6793?,AZD6793
Which trial evaluated insulin degludec/insulin aspart?,insulin degludec/insulin aspart
What studies investigated Diabetes|Hyperglycemia?,Diabetes|Hyperglycemia
Which trial evaluated Best Practice Advisory?,Best Practice Advisory
"What studies investigated Diabetes Mellitus, Type 2|Aerobic Exercise|Genetic Response?","Diabetes Mellitus, Type 2|Aerobic Exercise|Genetic Response"
Which trial evaluated exercise?,exercise
Which trial evaluated IM/SMS + Incentive Condition?,IM/SMS + Incentive Condition
What studies investigated Diabetic Ketoacidosis|Insulin|Intensive Care Unit Stay?,Diabetic Ketoacidosis|Insulin|Intensive Care Unit Stay
Which trial evaluated insulin infusion without basal insulin?,insulin infusion without basal insulin
Which trial evaluated No treatment given?,No treatment given
What studies investigated Chronic Heart Failure|Type 2 Diabetes|Diabetes (DM)?,Chronic Heart Failure|Type 2 Diabetes|Diabetes (DM)
Which trial evaluated Diabetes Status?,Diabetes Status
Which trial evaluated Use of digital disease management tool?,Use of digital disease management tool
Which trial evaluated continuous glucose-monitoring?,continuous glucose-monitoring
What studies investigated Cocaine Dependence?,Cocaine Dependence
Which trial evaluated AIDS?,AIDS
What studies investigated Healthy Adult Participants|Diabetic Kidney Disease?,Healthy Adult Participants|Diabetic Kidney Disease
Which trial evaluated BIOLOGICAL: MTX-439?,BIOLOGICAL: MTX-439
What studies investigated Type2diabetes|Mild Cognitive Impairment|Age-related Cognitive Decline?,Type2diabetes|Mild Cognitive Impairment|Age-related Cognitive Decline
Which trial evaluated Progressive Exercise Program (12 Weeks)?,Progressive Exercise Program (12 Weeks)
What studies investigated Diabetic Foot Ulcer|Diabetic Foot|Wound Heal|Ulcer Foot|Ulcer Healing?,Diabetic Foot Ulcer|Diabetic Foot|Wound Heal|Ulcer Foot|Ulcer Healing
Which trial evaluated PROCEDURE: Inforatio technique?,PROCEDURE: Inforatio technique
"What studies investigated Congenital Adrenal Hyperplasia|Familial Hyperinsulinemic Hypoglycemia 1|Phosphoglucomutase 1 Deficiency|Maturity Onset Diabetes of the Young|Cystic Fibrosis|Hypophosphatasia, Infantile|Congenital Hypothyroidism|Deficit in Anterior Pituitary Function and Variable Immunodeficiency|Pituitary Hormone Deficiency, Combined|Diamond Blackfan Anemia|Wiskott-Aldrich Syndrome|Fanconi Anemia|Hemophilia A|Hemophilia B|Glucose 6 Phosphate Dehydrogenase Deficiency|Alpha-Thalassemia|Sickle Cell Disease|Shwachman-Diamond Syndrome|Alpha 1-Antitrypsin Deficiency|Inflammatory Bowel Disease 25, Autosomal Recessive|Wilson Disease|Progressive Familial Intrahepatic Cholestasis|Crigler-Najjar Syndrome|Familial Chylomicronemia|Lysosomal Acid Lipase Deficiency|Familial Hemophagocytic Lymphocytosis|Griscelli Syndrome|Chediak-Higashi Syndrome|Severe Congenital Neutropenia|Severe Combined Immune Deficiency|Chronic Granulomatous Disease|Menkes Disease|Adrenoleukodystrophy|Smith-Lemli-Opitz Syndrome|Ataxia With Vitamin E Deficiency|Thiamine Metabolism Dysfunction Syndrome 5 (Episodic Encephalopathy Type)|Thiamine Metabolism Dysfunction Syndrome 4 (Bilateral Striatal Degeneration and Progressive Polyneuropathy Type)|Thiamine-Responsive Megaloblastic Anemia|Thiamine Metabolism Dysfunction Syndrome 2|Deficiency of GOT2|Cerebral Folate Transport Deficiency|Segawa Syndrome, Autosomal Recessive|Congenital Myasthenic Syndrome|Metachromatic Leukodystrophy|Sepiapterin Reductase Deficiency|Dopamine Beta Hydroxylase Deficiency|Glut1 Deficiency Syndrome|Late-Infantile Neuronal Ceroid Lipofuscinosis|Aromatic L-amino Acid Decarboxylase Deficiency|Charcot-Marie-Tooth Disease, Type 6C|Hereditary Hyperekplexia|Brain Dopamine-Serotonin Vesicular Transport Disease|Very Long Chain Hydroxy Acyl Dehydrogenase Deficiency|Tyrosinemia, Type I|Disaccharide Intolerance I|Beta Ketothiolase Deficiency|Phosphoglycerate Dehydrogenase Deficiency|Succinyl-Coa:3-Ketoacid Coa-Transferase Deficiency|Pyridoxine-5'-Phosphate Oxidase Deficiency|Pyridoxine-Dependent Epilepsy|Propionic Acidemia|Pompe Disease|Phenylalanine Hydroxylase Deficiency|Ornithine Transcarbamylase Deficiency|N Acetyl Glutamate Synthetase Deficiency|Riboflavin Deficiency|Maple Syrup Urine Disease|Medium Chain Acyl CoA Dehydrogenase Deficiency|Malonic Acidemia|Long-chain 3-hydroxyacyl-CoA Dehydrogenase Deficiency|Isovaleric Acidemia|Phosphoserine Aminotransferase Deficiency|Phosphoserine Phosphatase Deficiency|Hyperornithinemia-Hyperammonemia-Homocitrullinuria|S-Adenosylhomocysteine Hydrolase Deficiency|Mucopolysaccharidosis VII|Mucopolysaccharidosis VI|Mucopolysaccharidosis IV A|Mucopolysaccharidosis II|Mucopolysaccharidosis I|Transcobalamin Deficiency|Isolated Methylmalonic Acidemia|Cobalamin Deficiency|Homocystinuria|Holocarboxylase Synthetase Deficiency|Fanconi Bickel Syndrome|Glycogen Storage Disease|Glycine Encephalopathy|Glutaric Acidemia I|Glucose Galactose Malabsorption|Gaucher Disease, Type 1|Galactosemias|Fructosemia|Fructose-1,6-Diphosphatase Deficiency|Carbamoyl Phosphate Synthase 1 Deficiency|Citrullinemia Type II|Citrullinemia 1|Creatine Deficiency Syndrome|Systemic Primary Carnitine Deficiency|Carnitine Palmitoyltransferase Deficiency 2|Carnitine Palmitoyltransferase Deficiency 1|Carnitine Acylcarnitine Translocase Deficiency|Riboflavin Transporter Deficiency|Branched-Chain Keto Acid Dehydrogenase Kinase Deficiency|Andersen Tawil Syndrome|Timothy Syndrome|Jervell-Lange Nielsen Syndrome|Catecholaminergic Polymorphic Ventricular Tachycardia|Familial Hypertrophic Cardiomyopathy Type 4|Pseudohypoaldosteronism, Type II|Pseudohypoaldosteronism Type 1|Primary Hyperoxaluria|X Linked Hypophosphatemia|Hereditary Nephrogenic Diabetes Insipidus|Cystinosis|Congenital Nephrotic Syndrome, Finnish Type|Alport Syndrome|Hereditary Retinoblastoma|Biotinidase Deficiency|Aciduria, Argininosuccinic|Argininemia|Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of|3-Hydroxy 3-Methyl Glutaric Aciduria|3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency?","Congenital Adrenal Hyperplasia|Familial Hyperinsulinemic Hypoglycemia 1|Phosphoglucomutase 1 Deficiency|Maturity Onset Diabetes of the Young|Cystic Fibrosis|Hypophosphatasia, Infantile|Congenital Hypothyroidism|Deficit in Anterior Pituitary Function and Variable Immunodeficiency|Pituitary Hormone Deficiency, Combined|Diamond Blackfan Anemia|Wiskott-Aldrich Syndrome|Fanconi Anemia|Hemophilia A|Hemophilia B|Glucose 6 Phosphate Dehydrogenase Deficiency|Alpha-Thalassemia|Sickle Cell Disease|Shwachman-Diamond Syndrome|Alpha 1-Antitrypsin Deficiency|Inflammatory Bowel Disease 25, Autosomal Recessive|Wilson Disease|Progressive Familial Intrahepatic Cholestasis|Crigler-Najjar Syndrome|Familial Chylomicronemia|Lysosomal Acid Lipase Deficiency|Familial Hemophagocytic Lymphocytosis|Griscelli Syndrome|Chediak-Higashi Syndrome|Severe Congenital Neutropenia|Severe Combined Immune Deficiency|Chronic Granulomatous Disease|Menkes Disease|Adrenoleukodystrophy|Smith-Lemli-Opitz Syndrome|Ataxia With Vitamin E Deficiency|Thiamine Metabolism Dysfunction Syndrome 5 (Episodic Encephalopathy Type)|Thiamine Metabolism Dysfunction Syndrome 4 (Bilateral Striatal Degeneration and Progressive Polyneuropathy Type)|Thiamine-Responsive Megaloblastic Anemia|Thiamine Metabolism Dysfunction Syndrome 2|Deficiency of GOT2|Cerebral Folate Transport Deficiency|Segawa Syndrome, Autosomal Recessive|Congenital Myasthenic Syndrome|Metachromatic Leukodystrophy|Sepiapterin Reductase Deficiency|Dopamine Beta Hydroxylase Deficiency|Glut1 Deficiency Syndrome|Late-Infantile Neuronal Ceroid Lipofuscinosis|Aromatic L-amino Acid Decarboxylase Deficiency|Charcot-Marie-Tooth Disease, Type 6C|Hereditary Hyperekplexia|Brain Dopamine-Serotonin Vesicular Transport Disease|Very Long Chain Hydroxy Acyl Dehydrogenase Deficiency|Tyrosinemia, Type I|Disaccharide Intolerance I|Beta Ketothiolase Deficiency|Phosphoglycerate Dehydrogenase Deficiency|Succinyl-Coa:3-Ketoacid Coa-Transferase Deficiency|Pyridoxine-5'-Phosphate Oxidase Deficiency|Pyridoxine-Dependent Epilepsy|Propionic Acidemia|Pompe Disease|Phenylalanine Hydroxylase Deficiency|Ornithine Transcarbamylase Deficiency|N Acetyl Glutamate Synthetase Deficiency|Riboflavin Deficiency|Maple Syrup Urine Disease|Medium Chain Acyl CoA Dehydrogenase Deficiency|Malonic Acidemia|Long-chain 3-hydroxyacyl-CoA Dehydrogenase Deficiency|Isovaleric Acidemia|Phosphoserine Aminotransferase Deficiency|Phosphoserine Phosphatase Deficiency|Hyperornithinemia-Hyperammonemia-Homocitrullinuria|S-Adenosylhomocysteine Hydrolase Deficiency|Mucopolysaccharidosis VII|Mucopolysaccharidosis VI|Mucopolysaccharidosis IV A|Mucopolysaccharidosis II|Mucopolysaccharidosis I|Transcobalamin Deficiency|Isolated Methylmalonic Acidemia|Cobalamin Deficiency|Homocystinuria|Holocarboxylase Synthetase Deficiency|Fanconi Bickel Syndrome|Glycogen Storage Disease|Glycine Encephalopathy|Glutaric Acidemia I|Glucose Galactose Malabsorption|Gaucher Disease, Type 1|Galactosemias|Fructosemia|Fructose-1,6-Diphosphatase Deficiency|Carbamoyl Phosphate Synthase 1 Deficiency|Citrullinemia Type II|Citrullinemia 1|Creatine Deficiency Syndrome|Systemic Primary Carnitine Deficiency|Carnitine Palmitoyltransferase Deficiency 2|Carnitine Palmitoyltransferase Deficiency 1|Carnitine Acylcarnitine Translocase Deficiency|Riboflavin Transporter Deficiency|Branched-Chain Keto Acid Dehydrogenase Kinase Deficiency|Andersen Tawil Syndrome|Timothy Syndrome|Jervell-Lange Nielsen Syndrome|Catecholaminergic Polymorphic Ventricular Tachycardia|Familial Hypertrophic Cardiomyopathy Type 4|Pseudohypoaldosteronism, Type II|Pseudohypoaldosteronism Type 1|Primary Hyperoxaluria|X Linked Hypophosphatemia|Hereditary Nephrogenic Diabetes Insipidus|Cystinosis|Congenital Nephrotic Syndrome, Finnish Type|Alport Syndrome|Hereditary Retinoblastoma|Biotinidase Deficiency|Aciduria, Argininosuccinic|Argininemia|Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of|3-Hydroxy 3-Methyl Glutaric Aciduria|3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency"
"Which trial evaluated DIAGNOSTIC_TEST: blood glucose measurement, blood glucose monitor for personal use?","DIAGNOSTIC_TEST: blood glucose measurement, blood glucose monitor for personal use"
Which trial evaluated ORMD-0801 (qd)?,ORMD-0801 (qd)
What studies investigated Periodontitis|Type 2 Diabetes Mellitus?,Periodontitis|Type 2 Diabetes Mellitus
Which trial evaluated PROCEDURE: Surgical Periodontal Treatment?,PROCEDURE: Surgical Periodontal Treatment
What studies investigated Hypertension|Diabetes|Cardiovascular Disease?,Hypertension|Diabetes|Cardiovascular Disease
What studies investigated Diabetes Mellitus Typ 2 and Obesity?,Diabetes Mellitus Typ 2 and Obesity
Which trial evaluated DIETARY_SUPPLEMENT: Modifast?,DIETARY_SUPPLEMENT: Modifast
What studies investigated Diabetes|Hba1c|Inpatient Facililty Diagnoses?,Diabetes|Hba1c|Inpatient Facililty Diagnoses
Which trial evaluated DIAGNOSTIC_TEST: HbA1c?,DIAGNOSTIC_TEST: HbA1c
Which trial evaluated switch NPH to glargin?,switch NPH to glargin
What studies investigated Pediatric Obesity|Prediabetic State?,Pediatric Obesity|Prediabetic State
Which trial evaluated Measurement?,Measurement
Which trial evaluated Best Possible Self?,Best Possible Self
Which trial evaluated DIETARY_SUPPLEMENT: Resistant Starch Type 4?,DIETARY_SUPPLEMENT: Resistant Starch Type 4
What studies investigated Diabetes Mellitus|Hypertension?,Diabetes Mellitus|Hypertension
Which trial evaluated Losartan 50Mg Tab?,Losartan 50Mg Tab
Which trial evaluated Diabetes Prevention Program?,Diabetes Prevention Program
